id,x,y
243,656584.5917478781,2730800.7325727995
244,656620.457109198,2730826.8457343653
245,670583.7718462255,2729394.262240477
246,670360.9232542804,2730873.7753594145
247,670347.9026953895,2730916.218410222
248,660463.8700679699,2730926.824333424
249,660472.9238932561,2730935.048214346
250,643773.5905178664,2730993.963735584
251,643742.5258284919,2731018.163757045
252,643746.8633973021,2731026.494183544
253,669960.2461741129,2731096.1163192485
254,669960.0045722043,2731115.842028901
255,643580.7366227861,2731144.159556918
256,643366.6255760025,2730373.673212324
257,658572.5281598959,2731152.1237677503
258,643564.9751084056,2731156.434599377
259,643356.1080267169,2730377.87305985
260,643575.5749793034,2731159.8780969344
261,658499.0375427399,2731197.982859392
262,667650.2277053352,2731456.0114059746
263,657950.1105762459,2731517.9160111416
264,657956.0625512442,2731527.564973021
265,640458.1373321023,2731696.1520211343
266,640453.0268068649,2731704.1965911854
267,644989.4532514093,2731716.711515017
268,670230.4009811655,2731754.017862804
269,670245.2803737195,2731762.0763416924
270,670241.9757067217,2731793.029789595
271,670225.7245638976,2731797.7929519527
272,659700.7992023509,2731833.0834516864
273,660416.5949674379,2731039.082381271
274,660425.1962155653,2731050.557539208
275,659713.6799624972,2731840.2654053457
276,644181.8301603496,2731861.8604470827
277,634103.9224763848,2731019.025151791
278,636723.6470119292,2731872.344548825
279,636725.5939121842,2731889.375709685
280,634092.6218195651,2731041.7752790283
281,634122.8690338954,2730974.62005844
282,634118.6889154706,2730984.416987462
283,637325.9371304046,2731991.641284099
284,656881.557248638,2732183.12952983
285,656858.6059131082,2732192.1298845448
286,670079.392232188,2732269.1715064123
287,638321.7112551685,2732273.6185913924
288,638314.4769057585,2732291.8543726224
289,638305.5614924477,2732314.2931878325
290,638295.7741669705,2732338.9384287726
291,638690.3548023002,2732403.9496831708
292,639201.9979865095,2732592.178165106
293,638648.4865365615,2732411.9374076426
294,639196.1375193736,2732611.534905184
295,639147.2230930049,2732618.9298250694
296,638636.2461977815,2732440.0024280176
297,639137.3670517569,2732645.246284727
298,638633.4780643275,2732465.8916501924
299,642905.6858362211,2732711.2372268606
300,642914.1505884808,2732714.5918276533
301,642902.3050065432,2732719.221262442
302,642910.9208271,2732722.643873209
303,643378.7837788258,2732930.5600326564
304,643377.9322306169,2732930.717364162
305,643372.6555047333,2732939.0471971147
306,643389.9049891671,2732941.185999168
307,643384.6901067458,2732949.4057091847
308,645351.0002000276,2732176.399600325
309,645237.2327235704,2733055.511725232
310,643905.0779150603,2733135.2780666333
311,658795.6145156696,2733268.441480821
312,659523.984914057,2732214.211392008
313,659537.7700516945,2732220.1630234383
314,658810.2153609665,2733272.895371955
315,663933.6533956826,2733294.3947170377
316,663945.222374633,2733298.419503834
317,644516.0736071281,2733327.475804651
318,640747.7965998733,2733417.138681436
319,639445.3846725496,2732755.7186647262
320,639474.5857321499,2732738.5793061405
321,647962.8326773429,2733468.493596874
322,647627.0384135833,2730900.580846884
323,639483.5379037438,2732714.668446828
324,640855.8466982655,2733491.42448508
325,639490.306474668,2732696.605714336
326,643628.8258120734,2733586.522865489
327,643621.2017113157,2733591.93748641
328,658792.6315234127,2733330.103964407
329,658757.9606141998,2733822.593428407
330,658741.7588648424,2733824.5677999835
331,658778.1130389106,2733326.415316388
332,647781.5601198096,2733873.648877615
333,649000.8284744667,2733908.7888922244
334,653483.7660981789,2730117.287599854
335,649927.0801590076,2734009.3031482585
336,641430.3870335957,2734140.5538117066
337,661654.2688778033,2734169.897307338
338,661668.3215337228,2734178.701107569
339,661651.8206943935,2734182.8728685305
340,661665.9405772649,2734192.851588272
341,648473.2383509781,2734251.968261551
342,647705.9242934501,2734402.0340497643
343,663881.6797120301,2734408.8562056944
344,663887.5295980908,2734454.0636976715
345,663879.2656233897,2734455.5610330887
346,663886.7305841632,2734463.4474467263
347,663878.566472223,2734465.0567321256
348,663825.9957453012,2734466.5175598804
349,663832.5919053527,2734475.146899322
350,663875.2611125549,2734509.269798994
351,662615.8383561913,2734535.981704764
352,662630.8522662343,2734536.944366157
353,648396.4925644267,2734540.597554654
354,662574.5094757751,2734547.7920078747
355,662616.5746577149,2734551.697274193
356,662632.1452225558,2734552.644317348
357,662689.5509667527,2734562.4344313294
358,646836.9510234753,2734572.318461802
359,663283.2863296438,2734585.46866698
360,663266.6294133076,2734586.5573050547
361,663322.8517643679,2734587.696187323
362,663285.5777239576,2734596.2291417047
363,663270.1511896672,2734596.8005849924
364,662975.0705279205,2734596.815931437
365,662982.1354912203,2734597.4528728165
366,662627.507646325,2734598.6362250224
367,663224.1024559829,2734598.672812801
368,662976.3687760979,2734610.311713867
369,662983.6942875898,2734611.162181055
370,662652.0349872652,2734620.922687769
371,663298.6872718446,2734634.28863653
372,663283.7322767759,2734636.0619196296
373,650621.4809713382,2734699.591388827
374,649414.6267388705,2734710.6367935613
375,663328.1467189854,2734719.606442567
376,663314.2911748309,2734724.2504768
377,663330.3186832983,2734725.901548197
378,663316.3457936086,2734730.20081413
379,641989.0169129595,2734741.644772606
380,663162.1851311596,2734775.2728571706
381,663164.2413695268,2734781.090265315
382,667145.2167683765,2734690.8895595446
383,667231.251108435,2734789.8268454354
384,667306.149527967,2734794.486195961
385,667239.2846772997,2734799.0623981766
386,667304.8985878695,2734807.586350113
387,663047.3293641713,2734813.797398912
388,663042.6058155932,2734815.3922619354
389,663049.2852605814,2734819.5471455194
390,663044.59232351,2734821.1202143133
391,667264.0339372596,2734827.519083096
392,667275.0535070626,2734830.7869336195
393,667263.4850484747,2734838.622763444
394,643543.8475795286,2734842.5853499994
395,643544.8216314232,2734853.0510523617
396,667319.0544291735,2734859.476174012
397,667221.7294778563,2734872.025654398
398,643507.8583797393,2734872.272382159
399,667226.96588438,2734876.6083032526
400,643513.2507161098,2734879.095589258
401,667322.3105990561,2734880.573025698
402,662740.6492628269,2734885.248314686
403,659109.2591720801,2734895.771167718
404,658750.0537010701,2733887.4782207087
405,663395.3219229169,2734914.1438966133
406,658766.5691305911,2733885.4963799883
407,659145.9162743306,2734915.033566702
408,663382.8922683857,2734922.293881044
409,643220.3824149221,2734923.159323763
410,643211.8039964577,2734924.0896190964
411,649400.2988159191,2734933.179178767
412,662762.1447292361,2734949.380912768
413,643261.6920267539,2734969.794879798
414,643257.7970832335,2734975.6691033617
415,650069.91708099,2734984.0235138983
416,643335.6164642265,2735008.682629861
417,663239.6025699778,2735009.208599737
418,643313.3202901538,2735029.141640052
419,643349.8736755969,2735029.9074989744
420,642295.5938060442,2735034.2118460145
421,643307.4064798951,2735034.585158298
422,643329.6807470983,2735047.5306777544
423,642287.0639725598,2735048.1572715472
424,643291.3406255897,2735049.327060396
425,643323.1879489897,2735053.2007916383
426,663132.9954886399,2735057.942692755
427,663127.1162810586,2735059.7343742363
428,643299.77927534,2735073.637233444
429,662806.1912373919,2735080.749106979
430,643358.440566144,2735081.8975944878
431,643362.8728161277,2735103.2866320647
432,662850.3802709039,2735112.1285641734
433,663467.2501227017,2735122.417872364
434,663452.3522840487,2735122.818083046
435,663282.9203677401,2735136.7706847973
436,662828.5266013006,2735147.3951008096
437,674107.2068042876,2735163.4816607684
438,663169.4930257834,2735165.042643724
439,663164.8070410639,2735166.892668871
440,643074.5035787262,2735244.125030618
441,643174.4987696232,2735162.4438269865
442,662992.6291770572,2735244.918137569
443,643179.5877808817,2735166.317593798
444,643083.6500703963,2735249.879262816
445,662872.6206038231,2735278.908180689
446,662907.7884121248,2735300.4563428834
447,650832.7217646176,2735308.810618196
448,662893.7627847288,2735341.995719392
449,642960.1539824493,2735375.843352711
450,647878.8117792383,2735380.7650114074
451,642971.096990874,2735382.978384601
452,663368.3670616327,2735392.966994937
453,666541.8441855544,2735394.404418923
454,663562.1266576936,2735397.1588131376
455,663548.021645681,2735398.986103993
456,663370.6503425082,2735400.1052756608
457,663564.5544720283,2735404.04407103
458,663550.5949293701,2735406.404766865
459,663249.6972399848,2735408.6594898254
460,663241.8557897639,2735410.416911278
461,663252.0595472269,2735415.964831572
462,663244.166085015,2735417.843483975
463,666177.5828045122,2735422.086526707
464,665939.3568135425,2735343.408428652
465,665981.0785839073,2735430.641306175
466,665985.439156861,2735442.4684247784
467,643271.9439481497,2735457.4930566773
468,663068.8285234794,2735467.9833969586
469,642749.0114428615,2735468.618773438
470,642316.890684505,2735078.368331963
471,643297.994768139,2735471.042504942
472,663071.5527587021,2735477.2092597918
473,642330.9284136305,2735066.9383421484
474,642810.3818644322,2735488.7005823106
475,667836.8963242332,2735500.7904745005
476,668292.107238506,2735227.657301223
477,662949.3304590816,2735507.7386404183
478,662933.5100940354,2735512.636804102
479,662952.7221029811,2735517.85847532
480,662937.0784918992,2735523.212864604
481,663618.8383642118,2735564.724025078
482,663608.8704190934,2735570.067181034
483,643226.7551433966,2735570.9186790287
484,646551.2106849579,2735610.216253683
485,643210.5367968632,2735634.714017801
486,666612.205321948,2735652.3378015943
487,647373.5181929255,2735414.289721485
488,663547.4351554858,2735662.8637451213
489,663638.0768024363,2735665.3079125434
490,663653.6346937874,2735666.3668119702
491,663738.842914138,2735670.5640505105
492,663642.3156992951,2735679.026877194
493,663658.2034317069,2735679.569066184
494,673444.4611685406,2735680.138754381
495,664069.3317521056,2735686.848041892
496,664077.9673742456,2735687.2272669263
497,663403.6834515119,2735690.841960192
498,664079.1078830734,2735699.414306119
499,664087.9128417987,2735700.0170823075
500,667865.8223225949,2735713.6777031347
501,663339.4005361367,2735722.439233979
502,666229.8033221271,2735725.248933424
503,664710.3367934152,2735732.239838989
504,643144.4912631037,2735732.3294075467
505,664819.1989728436,2735738.1318691466
506,643151.6613096781,2735738.417707458
507,664946.7699479349,2735744.7017216533
508,666104.374821987,2735746.6735069826
509,667880.8031542962,2735784.0439326707
510,667812.5314813778,2735798.2038689777
511,667900.9913670281,2735798.733234614
512,665264.0824356079,2735838.3741830606
513,643094.2491700444,2735809.2525296174
514,663071.1142211827,2735871.052879527
515,664949.8895721091,2735879.467968516
516,664816.9726694031,2735893.747671107
517,664700.5682534939,2735906.242226368
518,663161.6781359361,2735907.443700146
519,665273.6385427956,2735921.8425025567
520,649614.8807155043,2735941.764073309
521,649593.4313131673,2735945.785595916
522,665430.7363849804,2735958.344918642
523,643343.5814726781,2735961.3995372243
524,643087.347504829,2735802.6464662533
525,663106.289521724,2735975.988404257
526,647917.2159323245,2735988.698077902
527,647906.3393928017,2735988.8588035405
528,663094.7592657739,2735990.3300656304
529,667325.6251599248,2735993.184641732
530,667172.3217836479,2735552.9354219567
531,663112.046370171,2735994.000731828
532,667332.1430052761,2736005.547895953
533,663101.0792712383,2736009.489938015
534,664996.0277261268,2736063.396773485
535,665242.3058067746,2736065.978894945
536,665001.0763782896,2736076.959753735
537,663048.8245886285,2736077.429287322
538,663129.2203822462,2736080.2702835705
539,645860.574701759,2736090.0693790205
540,667015.6704639476,2735846.7480958216
541,667080.4563895827,2736090.3613209184
542,643497.7963836575,2736090.44681067
543,664753.1948819561,2736113.098943504
544,666821.3565449286,2735621.757118322
545,666960.8665180076,2736136.140497748
546,665730.449661022,2736184.5874335617
547,666765.2313572355,2736201.7851904947
548,665825.1019675881,2736206.722631771
549,664295.9810375972,2736211.9006368257
550,664290.1618936667,2736214.622979833
551,664320.623770887,2736220.5893645342
552,665741.3936203364,2736227.065834675
553,666000.4368949849,2736233.901854327
554,666749.839833498,2736230.6439020075
555,664325.243134859,2736237.9795851484
556,668004.9976477483,2736242.4152285885
557,667986.4625291098,2736247.474147007
558,665997.9761714181,2736247.5967893302
559,664302.3310107971,2736247.99816755
560,664286.1671976456,2736261.3977764715
561,664305.6427351879,2736266.458404552
562,645386.5792249395,2736284.0863988977
563,664282.0586442593,2736300.716448512
564,664314.6135843955,2736301.645507727
565,645385.2389178602,2736306.722675621
566,645050.9796451712,2736116.9526338917
567,666370.861342378,2736308.653587852
568,666369.8248026837,2736322.509596331
569,645366.9119277727,2736366.196474422
570,667467.2682599211,2736406.2451365795
571,665348.2062892467,2736433.2045847364
572,646897.6351222442,2736503.63530368
573,643825.9048372898,2736529.4546875544
574,641446.5969149573,2736530.7366620824
575,641432.1240093736,2736533.4906555437
576,643810.1377887595,2736535.006057903
577,645167.3400217462,2736549.4254705533
578,666848.0231499728,2736589.3059667945
579,645725.3953448031,2736596.5906728134
580,665119.7317945734,2736652.7154643107
581,664423.2595003238,2736657.5967896134
582,665847.6711717015,2736658.7248819843
583,665910.286322075,2736686.303673867
584,666365.3319983575,2736730.9218239468
585,663822.5197239751,2736864.503254246
586,663814.9226488927,2736870.4613469504
587,663822.4072271232,2736877.428683732
588,663814.5343034267,2736883.6161270253
589,646387.4808627404,2736989.641548017
590,646761.8591325311,2736991.51256308
591,664579.0212908005,2737013.5114125838
592,665771.0689392099,2737036.287121024
593,663449.0611635465,2737078.990355814
594,663443.5944851339,2737081.8944136407
595,663453.3026653752,2737094.1714851446
596,668342.8955190061,2737096.214885058
597,663447.612943979,2737097.1172148567
598,668326.9691616679,2737103.1216655117
599,668347.1343365125,2737103.699216429
600,668330.228990159,2737110.416851539
601,659004.5576137649,2737124.486437581
602,659197.488914852,2735291.523092471
603,659239.5114420867,2735284.872747661
604,659019.3669112585,2737127.159893587
605,646236.2114545498,2737133.747601697
606,654644.6630391292,2737197.682919236
607,654665.608468133,2737144.6282143537
608,646161.6404863419,2737204.79896421
609,667779.0372426435,2737303.057927316
610,667781.0763153359,2737309.2636887096
611,665646.6058455007,2737349.1961925924
612,646954.4865681855,2737354.3698212653
613,647095.5353494892,2737351.1166046206
614,665642.9032675559,2737358.500885859
615,646824.7974189371,2737359.5060708118
616,663805.7765825083,2737376.5904466044
617,663797.4443434868,2737378.873371165
618,647871.4420285923,2737391.0848518126
619,667805.8150175065,2737396.508078024
620,675641.4501729757,2737415.887745388
621,666353.4431852661,2737417.1133966744
622,662452.3456149008,2737419.578050118
623,666353.434781908,2737422.8622906413
624,642715.5860877745,2735842.770282414
625,642683.8038591901,2737429.5445006657
626,675694.5286571132,2737434.5071317647
627,642672.2567909947,2737435.0409110226
628,642708.3845779411,2735838.741995972
629,662431.2282827636,2737437.285763778
630,665102.3211927386,2737438.0988772027
631,665119.9985603141,2737438.5534632206
632,675680.1428321572,2737450.4424122837
633,666737.2846538462,2737453.5789869
634,666737.6828907095,2737460.828197155
635,662565.2768521719,2737483.510482859
636,667093.8628659258,2737487.46643069
637,662604.9051210722,2737492.593825789
638,667096.1341611464,2737496.2447651606
639,662480.2888719244,2737507.191666674
640,662456.9766242206,2737513.6859474964
641,662360.8945683148,2737522.4943300374
642,662489.1941499971,2737529.305927906
643,662464.5107425768,2737537.135470994
644,662360.2141422126,2737546.0024921093
645,661987.2719808258,2737556.740987947
646,661988.109849521,2737577.630613804
647,643925.350289912,2736693.9019956216
648,644609.0562046152,2737578.391973423
649,644582.7276079813,2737583.6347125936
650,643912.0303630382,2736698.57046064
651,663588.4769986477,2737592.9665449187
652,663554.5798205659,2737601.4495760165
653,662525.8202116257,2737620.0234594624
654,668586.659852935,2737622.091197025
655,663618.6874193894,2737625.9452058617
656,663544.3845888171,2737627.858290328
657,662508.9692954319,2737639.6752940197
658,658987.0225527417,2737298.3436917327
659,658965.8081377493,2737644.5891803093
660,658944.3274840564,2737648.5848076493
661,658972.3082855204,2737297.1002391614
662,663608.4920764994,2737652.3538795467
663,663582.5003566016,2737663.8435278777
664,660946.6868449403,2737663.874730522
665,660928.5729860635,2737671.4288883097
666,660971.4563395279,2737701.5801744685
667,660964.7273703823,2737707.848893961
668,660960.763832733,2737712.045195524
669,660947.3644540738,2737715.201300669
670,660952.4818536071,2737715.29405074
671,654074.1694354843,2737736.047423089
672,665202.6892655296,2737739.184220916
673,665216.8042805716,2737739.7404306084
674,647091.5071599409,2737747.2203601934
675,665476.5357028479,2737750.907919921
676,658954.0043771332,2737759.8613949474
677,661353.6323051844,2737781.497264693
678,657351.2882468719,2737786.116181452
679,657331.5728549547,2737787.9522515573
680,667946.9558452228,2737795.834430473
681,666345.7157155126,2737803.2998874
682,666355.4333500154,2737803.605017072
683,658993.0838026507,2737811.4956483115
